%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1596272214125937309,40,1596195560974890568,map,-0.205384492874,-0.077522277832,0.23736731708,-0.00240531570413,0.0109448262153,-0.141966729983,-0.989807997954
1596272214597454238,41,1596195561454357912,map,-0.225008487701,-0.0166778564453,0.254468202591,-0.00228509120622,0.0109562146086,-0.141979276402,-0.989806357219
1596272215119738706,42,1596195561974994110,map,-0.223490715027,0.085033416748,0.257670402527,-0.00206251118589,0.0108603016455,-0.141928714506,-0.989815154407
1596272215618136618,43,1596195562474876662,map,-0.215450286865,0.122963905334,0.257846653461,-0.00189954346989,0.0107346938281,-0.141930576615,-0.989816583769
1596272216118298023,44,1596195562974904422,map,-0.201045036316,0.152400016785,0.261553525925,-0.0021232617247,0.0106549198347,-0.141895834752,-0.989821972136
1596272216617307608,45,1596195563474625620,map,-0.191970586777,0.220135688782,0.253946006298,-0.00213556342778,0.0105837356345,-0.141930645671,-0.989817718435
1596272217121013725,46,1596195563974890932,map,-0.19425702095,0.292776107788,0.256728261709,-0.00195903260653,0.0105690164943,-0.141920777642,-0.989819655773
1596272217597477481,47,1596195564454133015,map,-0.177380084991,0.350395202637,0.264952450991,-0.00199606598501,0.010511618311,-0.141887797716,-0.989824921115
1596272218116832496,48,1596195564973998015,map,-0.177531003952,0.393311977386,0.260957598686,-0.00215846781669,0.0104673273357,-0.141843615326,-0.989831382038
1596272218617413244,49,1596195565474840983,map,-0.18501496315,0.385607242584,0.258075296879,-0.00238148781843,0.0105990040511,-0.141843376165,-0.989829503635
1596272219097154051,50,1596195565953752546,map,-0.189135313034,0.372035980225,0.262617439032,-0.00277918813064,0.0107826270814,-0.141788426158,-0.989834356483
1596272219598066555,51,1596195566454591712,map,-0.189999580383,0.390274047852,0.244403272867,-0.00299411609153,0.0108756946308,-0.141817867325,-0.989828493752
1596272220116962412,52,1596195566973860827,map,-0.204547643661,0.441133975983,0.232431307435,-0.00285719525863,0.0109049326086,-0.141819647158,-0.989828321761
1596272220617922642,53,1596195567474919576,map,-0.263049125671,0.48633146286,0.219469204545,-0.00275895130452,0.0111024973871,-0.141834537458,-0.989824270628
