%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1596448205841720741,0,1596448205987591767,map,0.0163335800171,0.00778579711914,0.123868569732,-0.00349590250125,0.00398989926424,-0.993825573129,-0.110826844961
1596448206218288671,1,1596448206486644356,map,-0.00488090515137,0.00691223144531,0.0993620604277,-0.00335389420539,0.00403967909281,-0.993840632822,-0.110694303997
1596448206716519214,2,1596448206987659322,map,-0.0107421875,0.0118370056152,0.0739381760359,-0.00329348809738,0.00388791262693,-0.993849507732,-0.110621847088
1596448207214336225,3,1596448207486740665,map,-0.0148797035217,0.0128622055054,0.0365747697651,-0.00331388856961,0.00385493834933,-0.993855369976,-0.110569711781
1596448207714577365,4,1596448207986967795,map,-0.0137701034546,-0.00156593322754,-0.00398414954543,-0.00335811155636,0.0038202907625,-0.993862386481,-0.110506493947
1596448208214335592,5,1596448208486777176,map,-0.0174517631531,0.000232696533203,-0.0390764251351,-0.0033428439805,0.00386165235239,-0.993872279984,-0.110416502906
1596448208718145098,6,1596448208987110149,map,-0.00630664825439,0.00429821014404,-0.0505417920649,-0.00329815126735,0.00372436156338,-0.993866333038,-0.110476076064
1596448209214176293,7,1596448209486925573,map,0.0113129615784,0.00900936126709,-0.0596053488553,-0.00340582490602,0.00367684329856,-0.993863390139,-0.110500872948
1596448209714844524,8,1596448209986980134,map,0.0259456634521,0.0103139877319,-0.0687009170651,-0.00344961729045,0.00363277316889,-0.993861345919,-0.110519356624
1596448210214632970,9,1596448210486985003,map,0.0418667793274,0.0118389129639,-0.0848844274879,-0.00343763778192,0.00362198469193,-0.993867552658,-0.110464255068
1596448210719806382,10,1596448210987077068,map,0.0487012863159,0.0346765518188,-0.0937321186066,-0.00345115174316,0.00362663915825,-0.993872045315,-0.110423251998
1596448211214682867,11,1596448211487128139,map,0.0486645698547,0.0507030487061,-0.0807341188192,-0.00333501437664,0.00361623125453,-0.993880943172,-0.110347049573
1596448211718155762,12,1596448211987379906,map,0.0490431785583,0.10941696167,-0.088678047061,-0.00329670896797,0.00349513683294,-0.993875464078,-0.110401438541
1596448212194530168,13,1596448212467417227,map,0.0461964607239,0.147715568542,-0.0851112604141,-0.00327420028842,0.00322190531543,-0.993881055306,-0.11036007812
1596448212715875111,14,1596448212987279738,map,0.0529055595398,0.172819137573,-0.0587193891406,-0.0034217750525,0.00324981088398,-0.993902445699,-0.110161965384
1596448213216541022,15,1596448213487269240,map,0.0473976135254,0.179414749146,-0.0310845132917,-0.00342466938987,0.00333575104432,-0.993915850566,-0.110038295147
1596448213714887700,16,1596448213987368181,map,0.0587935447693,0.237364768982,0.00405074283481,-0.00340980781912,0.00358246932173,-0.993925861555,-0.109940533276
1596448214247366708,17,1596448214487411960,map,0.0757832527161,0.268559455872,0.0088476575911,-0.00351301156626,0.00319284891729,-0.993916752255,-0.110031604788
1596448214714430787,18,1596448214987474542,map,0.0758852958679,0.3077917099,0.0121758691967,-0.00374542512258,0.00337114450614,-0.993906474421,-0.110111431192
1596448215214400217,19,1596448215487515196,map,0.0865893363953,0.29613494873,0.0189402885735,-0.00395039307757,0.00354971644428,-0.993889162066,-0.110254829536
1596448215717753395,20,1596448215987525169,map,0.0620102882385,0.290760040283,-0.0164359360933,-0.00387473562166,0.00337042812382,-0.993847025128,-0.110642294271
1596448216215956767,21,1596448216487597961,map,0.0597863197327,0.309714317322,-0.047484099865,-0.00384781330921,0.00361894551582,-0.993842104916,-0.110679573826
1596448216717552934,22,1596448216987632885,map,0.0889830589294,0.349846839905,-0.0711665898561,-0.00393234710636,0.00346539290517,-0.993831033346,-0.110780886696
1596448217217936512,23,1596448217487654631,map,0.127152919769,0.369575500488,-0.0912537574768,-0.00414666178237,0.00333573061024,-0.993814373496,-0.110926413128
1596448217714957962,24,1596448217987832537,map,0.165007591248,0.360508918762,-0.0569167397916,-0.024780740588,0.00264592435253,-0.994665610069,-0.100096144411
1596448218214791480,25,1596448218487778963,map,0.193569660187,0.390929222107,-0.0593148507178,-0.0223550977327,0.0100778207723,-0.994114702279,-0.10552083134
1596448218714483864,26,1596448218987863631,map,0.185069561005,0.38981628418,-0.0996946245432,-0.0050739005121,0.00699645097804,-0.990335186057,-0.138425158351
1596448219218186300,27,1596448219487894804,map,0.186373233795,0.387884140015,-0.103391289711,-0.00438843901329,0.00333764581765,-0.991786873433,-0.127782625617
1596448219716382541,28,1596448219987902590,map,0.191086769104,0.38262462616,-0.105852931738,-0.00437210904234,0.00349294966008,-0.991776143,-0.127862293661
1596448220217953179,29,1596448220487991321,map,0.195450305939,0.358775138855,-0.0983435064554,-0.00413189670887,0.00361422302597,-0.991776624224,-0.127863178686
1596448220715308070,30,1596448220988037027,map,0.205911159515,0.317736625671,-0.111950516701,-0.00362393523974,0.00390245513297,-0.991737526537,-0.12817299402
1596448221214733312,31,1596448221488087421,map,0.164238452911,0.19070148468,-0.118607841432,-0.00355537337125,0.00410676658984,-0.991736095981,-0.128179599454
1596448221716135398,32,1596448221988118907,map,0.129296779633,0.0813541412354,-0.1152356565,-0.00326319860274,0.0045904633614,-0.991743778824,-0.128111499662
1596448222214477780,33,1596448222488138830,map,0.0794095993042,-0.0593185424805,-0.11544509232,-0.00317680681553,0.00469649953007,-0.991746190578,-0.128091156076
1596448222714949980,34,1596448222988401223,map,0.048656463623,-0.177364826202,-0.0988230407238,-0.00312025628249,0.0047533854285,-0.991751783963,-0.128047133254
