%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1596461440090226634,132,1596460704900734111,map,-0.473632246256,0.582518100739,0.0692622810602,-0.0348332820947,-0.0153188303135,-0.726072963968,0.686563927753
1596461440107842280,133,1596460705361552496,map,-0.483272820711,0.59699010849,0.0252021700144,-0.0352609398627,-0.0117792619664,-0.727390610196,0.68521588956
1596461440610566635,134,1596460705900661507,map,-0.519217908382,0.612912654877,-0.0450587272644,-0.0399004930417,-0.0102828543863,-0.73142646655,0.680674325644
1596461441583335357,135,1596460706361809111,map,-0.542281508446,0.628936052322,-0.09333114326,-0.032069684993,-0.00918682986942,-0.727805429216,0.684971820344
1596461441814125698,136,1596460706879997860,map,-0.544693231583,0.642103910446,-0.152797088027,-0.0300689106468,-0.0145954494768,-0.719997429098,0.693171360891
1596461442566630459,137,1596460707362392912,map,-0.568032085896,0.655812501907,-0.215614676476,-0.0370750520193,-0.00734683368233,-0.71355648526,0.699577448819
1596461442616049009,138,1596460707880463745,map,-0.597859978676,0.661696434021,-0.274241507053,-0.0352075770574,-0.0109031258986,-0.715874185124,0.697255834996
1596461443581007444,139,1596460708360907495,map,-0.62240344286,0.66946554184,-0.32209199667,-0.0374939497538,-0.0134854808942,-0.717305111309,0.695618949445
1596461444074232341,140,1596460708900544630,map,-0.688107907772,0.620307683945,-0.386967778206,-0.0385281160925,-0.0181926975538,-0.722050123967,0.69052750018
1596461445613886241,141,1596460709360294734,map,-0.738390147686,0.468748807907,-0.432572543621,-0.0293109613242,-0.0181681414276,-0.712155213687,0.701174541609
1596461445613905630,142,1596460709880395307,map,-0.737863183022,0.13525724411,-0.468490600586,-0.0435718587242,-0.0168065383485,-0.707986027282,0.704680650061
1596461445629883608,143,1596460710361324994,map,-0.771586418152,-0.16619181633,-0.500275671482,-0.0362190798567,-0.0118920272241,-0.722385837007,0.690438600046
1596461445630079074,144,1596460710900433588,map,-0.813523650169,-0.511816978455,-0.49028301239,-0.0293457925997,-0.00346059021516,-0.717184245357,0.696256854174
1596461446115488704,145,1596460711380394109,map,-0.774532735348,-0.866439819336,-0.508681356907,-0.0415055421628,-0.0055389418645,-0.713315184221,0.699591350756
1596461447065356990,146,1596460711900448692,map,-0.755796313286,-1.24128890038,-0.471562504768,-0.0441488136261,-0.00454058972056,-0.720740331074,0.691782943172
1596461447098941853,147,1596460712360599317,map,-0.771693050861,-1.61658728123,-0.46540081501,-0.0509198465386,-0.012648577998,-0.720754699679,0.691201740155
1596461448090478730,148,1596460712900484837,map,-0.715871691704,-2.0044233799,-0.454154908657,-0.0409788504278,-0.00626531414102,-0.730337212125,0.681827717419
1596461448770815875,149,1596460713380406452,map,-0.68219524622,-2.35746192932,-0.416858434677,-0.0474113390309,-0.00807877460987,-0.746713943106,0.663404239889
1596461449572632082,150,1596460713900518379,map,-0.690060973167,-2.83528733253,-0.367880702019,-0.0655155242301,-0.0305135636062,-0.737060404192,0.671951336849
1596461449572945339,151,1596460714380443847,map,-0.662770271301,-3.22856521606,-0.311261206865,-0.0580718379872,-0.0130538961882,-0.733891399366,0.676654026341
1596461449654602210,152,1596460714900394941,map,-0.639709472656,-3.60924291611,-0.217265874147,-0.0516701534687,-0.0107856326259,-0.741030936448,0.669393021024
1596461450079271277,153,1596460715361297076,map,-0.67036741972,-3.97547698021,-0.138391345739,-0.0517673830176,-0.0178238875557,-0.733363109806,0.67762895176
1596461450616883215,154,1596460715900312649,map,-0.709066987038,-4.34502410889,-0.058755107224,-0.0491164798874,-0.0120976708943,-0.725448963632,0.686414611534
1596461451575232851,155,1596460716361341815,map,-0.728565812111,-4.6404747963,0.0173206329346,-0.0633406213857,-0.0322469725013,-0.739508177597,0.669384608215
1596461451615269767,156,1596460716900469211,map,-0.782098710537,-5.01968717575,0.0646998435259,-0.0541001680838,-0.0258913192224,-0.734084834142,0.676403923469
1596461452118250697,157,1596460717380390877,map,-0.767111241817,-5.32391500473,0.101793557405,-0.0636090176116,-0.0321385435435,-0.723511291733,0.686623927367
1596461452599716932,158,1596460717879774575,map,-0.740609049797,-5.66512203217,0.148383274674,-0.072595684902,-0.0402759228845,-0.736099659981,0.671762612197
1596461453076384333,159,1596460718361324575,map,-0.806572258472,-6.00869750977,0.145865097642,-0.0581673236534,-0.0273780335904,-0.744886877476,0.66408624854
1596461453804553176,160,1596460718880411033,map,-0.828805804253,-6.3915977478,0.155715659261,-0.0584759730606,-0.0332794244502,-0.737598045276,0.671879575585
1596461454787878224,161,1596460719360355095,map,-0.817338168621,-6.73905754089,0.161354109645,-0.0563126344603,-0.0302745712051,-0.737468852605,0.672348145662
1596461455316284561,162,1596460719900149001,map,-0.892939984798,-7.14509773254,0.138056442142,-0.0568114350692,-0.0268763805343,-0.748648569004,0.659981394543
1596461455333301233,163,1596460720360167074,map,-0.932528853416,-7.43239498138,0.17054758966,-0.0600875093686,-0.0238458111238,-0.730385668982,0.679968854475
1596461455630789976,164,1596460720900167438,map,-0.912976861,-7.80941200256,0.195471391082,-0.0519866266479,-0.0319402711002,-0.729263371406,0.681507259578
1596461456622665664,165,1596460721360347022,map,-0.929169774055,-8.07155990601,0.223465010524,-0.0466626752132,-0.0217421272284,-0.74711502557,0.662698282187
1596461457059130625,166,1596460721900161292,map,-0.969888448715,-8.46057891846,0.247522160411,-0.0494927009485,-0.02613750216,-0.752253808507,0.656491821061
